state,state_abbr,city,city_name,county,county_name,latitude,longitud
ALABAMA,AL,10,ABBEVILLE,67,HENRY,31.57184,-85.25049
ALABAMA,AL,50,ALBERTVILLE,95,MARSHALL,34.26783,-86.20878
ALABAMA,AL,60,ALEXANDER CITY,123,TALLAPOOSA,32.94401,-85.95385
ALABAMA,AL,70,ALICEVILLE,107,PICKENS,33.12957,-88.15142
ALABAMA,AL,90,ANDALUSIA,39,COVINGTON,31.30833,-86.39222
ALABAMA,AL,96,ANDERSON,77,LAUDERDALE,34.92842,-87.26641
ALABAMA,AL,100,ANNISTON,15,CALHOUN,33.65983,-85.83163
ALABAMA,AL,101,ANNISTON ARMY DEPOT,15,CALHOUN,33.65231,-85.96214
ALABAMA,AL,103,ANSLEY,109,PIKE,31.88626,-86.11579
ALABAMA,AL,110,ARAB,95,MARSHALL,34.31815,-86.49582
ALABAMA,AL,120,ARDMORE,83,LIMESTONE,34.97872,-86.88273
ALABAMA,AL,127,ARGO,73,JEFFERSON,33.6885,-86.5022
ALABAMA,AL,130,ARITON,45,DALE,31.60017,-85.71883
ALABAMA,AL,134,ARLEY,133,WINSTON,34.07899,-87.21223
ALABAMA,AL,135,ARLINGTON,131,WILCOX,32.0568,-87.5879
ALABAMA,AL,137,ARMSTRONG,87,MACON,32.2396,-85.6577
ALABAMA,AL,140,ASHFORD,69,HOUSTON,31.18296,-85.23632
ALABAMA,AL,150,ASHLAND,27,CLAY,33.27373,-85.83607
ALABAMA,AL,160,ASHVILLE,115,ST. CLAIR,33.83704,-86.25442
ALABAMA,AL,170,ATHENS,83,LIMESTONE,34.80243,-86.97219
ALABAMA,AL,180,ATMORE,53,ESCAMBIA,31.02379,-87.49387
ALABAMA,AL,190,ATTALLA,55,ETOWAH,34.02176,-86.08859
ALABAMA,AL,200,AUBURN,81,LEE,32.60986,-85.48078
ALABAMA,AL,220,AUTAUGAVILLE,1,AUTAUGA,32.43402,-86.6547
ALABAMA,AL,221,AVON,69,HOUSTON,31.18934,-85.28604
ALABAMA,AL,223,AXIS,97,MOBILE,30.92991,-88.02722
ALABAMA,AL,225,BABBIE,39,COVINGTON,31.27961,-86.32551
