state_abbr,county,nbr_st,nbr_counties,county_name,latitude,longitud,timezone,RUCC_1980,RUCC_1990,RUCC_2000,RUCC_2010,RUCC_2020
AL,1,AL;AL;AL;AL;AL;AL,001;021;047;051;085;101,Autauga County,32.536382,-86.64449,CST,2,2,2,2,2
AL,3,AL;AL;AL;AL;AL;AL;FL,003;025;053;097;099;129;033,Baldwin County,30.659218,-87.746067,CST,2,2,4,3,3
AL,5,AL;AL;AL;AL;AL;AL;GA;GA;GA,005;011;045;067;109;113;061;239;259,Barbour County,31.87067,-85.405456,CST,6,6,6,6,6
AL,7,AL;AL;AL;AL;AL;AL;AL,007;021;065;073;105;117;125,Bibb County,33.015893,-87.127148,CST,6,6,1,1,1
AL,9,AL;AL;AL;AL;AL;AL;AL,009;043;055;073;095;115;127,Blount County,33.977448,-86.567246,CST,2,2,1,1,1
AL,11,AL;AL;AL;AL;AL;AL,005;011;087;101;109;113,Bullock County,32.101759,-85.717261,CST,6,6,6,6,8
AL,13,AL;AL;AL;AL;AL;AL;AL,013;035;039;041;085;099;131,Butler County,31.751667,-86.681969,CST,7,7,6,6,6
AL,15,AL;AL;AL;AL;AL;AL,015;019;029;055;115;121,Calhoun County,33.771706,-85.822513,CST,3,3,3,3,3
AL,17,AL;AL;AL;AL;GA;GA,017;081;111;123;145;285,Chambers County,32.917943,-85.391812,CST,5,5,6,6,6
AL,19,AL;AL;AL;AL;AL;GA;GA;GA,015;019;029;049;055;055;115;233,Cherokee County,34.069515,-85.654242,CST,8,6,8,6,8
AL,21,AL;AL;AL;AL;AL;AL;AL;AL,001;007;021;037;047;051;105;117,Chilton County,32.85406,-86.726628,CST,6,6,1,1,1
AL,23,AL;AL;AL;AL;AL;MS;MS;MS,023;025;091;119;129;023;075;153,Choctaw County,31.991008,-88.248887,CST,9,9,9,9,9
AL,25,AL;AL;AL;AL;AL;AL;AL,003;023;025;091;099;129;131,Clarke County,31.685521,-87.818624,CST,7,7,7,7,9
AL,27,AL;AL;AL;AL;AL;AL,027;029;037;111;121;123,Clay County,33.267809,-85.862051,CST,9,9,9,9,9
AL,29,AL;AL;AL;AL;AL;AL;GA;GA;GA,015;019;027;029;111;121;045;143;233,Cleburne County,33.671981,-85.516109,CST,6,6,8,8,8
AL,31,AL;AL;AL;AL;AL;AL,031;039;041;045;061;109,Coffee County,31.402183,-85.989201,CST,4,4,6,4,4
