year,month_start,day_start,month_end,day_end
1982,4,25,10,31
1983,4,24,10,30
1984,4,29,10,28
1985,4,28,10,27
1986,4,27,10,26
1987,4,5,10,25
1988,4,3,10,30
1989,4,2,10,29
1990,4,1,10,28
1991,4,7,10,27
1992,4,5,10,25
1993,4,4,10,31
1994,4,3,10,30
1995,4,2,10,29
1996,4,7,10,27
1997,4,6,10,26
1998,4,5,10,25
1999,4,4,10,31
2000,4,2,10,29
2001,4,1,10,28
2002,4,7,10,27
2003,4,6,10,26
2004,4,4,10,31
2005,4,3,10,30
2006,4,2,10,29
2007,3,11,11,4
2008,3,9,11,2
2009,3,8,11,1
2010,3,14,11,7
2011,3,13,11,6
2012,3,11,11,4
2013,3,10,11,3
2014,3,9,11,2
2015,3,8,11,1
2016,3,13,11,6
2017,3,12,11,5
2018,3,11,11,4
2019,3,10,11,3
2020,3,8,11,1
2021,3,14,11,7
2022,3,13,11,6
2023,3,12,11,5
2024,3,10,11,3
2025,3,9,11,2
