state_abbr,num_tz,timezone,counties,multi_counties
AL,1,CST,,
AK,1,AKST,,
AZ,3,MST;AZST,0;0,1;5;17
AR,1,CST,,
CA,1,PST,,
CO,1,MST,,
CT,1,EST,,
DE,1,EST,,
DC,1,EST,,
FL,3,CST;EST,5;13;33;59;63;91;113;131;133,45;0
GA,1,EST,,
HI,1,HST,,
ID,3,PST;MST,9;17;21;35;55;57;61;69;79,49;0
IL,1,CST,,
IN,2,CST;EST,51;73;89;91;111;123;127;129;147;149;163;173,
IA,1,CST,,
KS,2,MST;CST,71;75;181;199,
KY,2,CST;EST,1;3;7;9;27;31;33;35;39;47;53;55;57;59;61;75;83;85;87;91;99;101;105;107;139;141;143;145;149;157;169;171;177;183;207;213;219;221;225;227;233,
LA,1,CST,,
ME,1,EST,,
MD,1,EST,,
MA,1,EST,,
MI,2,CST;EST,43;53;71;109,
MN,1,CST,,
MS,1,CST,,
MO,1,CST,,
MT,1,MST,,
NE,3,MST;CST,5;7;13;29;33;45;49;57;69;75;91;101;105;123;135;157;161;165,31;0
NV,3,MST;PST,0;0,7;0
NH,1,EST,,
NJ,1,EST,,
NM,1,MST,,
NY,1,EST,,
NC,1,EST,,
ND,2,MST;CST,1;7;11;25;33;37;41;53;85;87;89,
OH,1,EST,,
OK,1,CST,,
OR,3,MST;PST,0;0,45;0
PA,1,EST,,
RI,1,EST,,
SC,1,EST,,
SD,3,MST;CST,7;19;31;33;41;47;55;63;71;81;93;103;105;113;137,117;0
TN,2,EST;CST,1;9;11;13;19;25;29;57;59;63;65;67;73;89;91;93;105;107;121;123;129;139;143;145;151;155;163;171;173;179,
TX,2,MST;CST,141;229,109;0
UT,1,MST,,
VT,1,EST,,
VA,1,EST,,
WA,1,PST,,
WV,1,EST,,
WI,1,CST,,
WY,1,MST,,
